mm,dd,hr,vd,NOT_EXIST
3,97,1,0.008942038,0.008942038
3,97,2,0.00362897,0.00362897
3,97,3,0.002924643,0.002924643
3,97,4,0.007918423,0.007918423
3,97,5,0.004610793,0.004610793
3,97,6,0.006118151,0.006118151
3,97,7,0.00656429,0.00656429
3,97,8,0.003699769,0.003699769
3,97,9,0.010321298,0.010321298
3,97,10,0.010464429,0.010464429
3,97,11,0.010217749,0.010217749
3,97,12,0.005262124,0.005262124
3,97,13,0.009024158,0.009024158
3,97,14,0.005171843,0.005171843
3,97,15,0.009418743,0.009418743
3,97,16,0.008106884,0.008106884
3,97,17,0.011532026,0.011532026
3,97,18,0.004107118,0.004107118
3,97,19,0.009249891,0.009249891
3,97,20,0.008754856,0.008754856
3,97,21,0.011613502,0.011613502
3,97,22,0.008483548,0.008483548
3,97,23,0.004720067,0.004720067
3,98,0,0.006172079,0.006172079
3,98,1,0.009352052,0.009352052
3,98,2,0.00587645,0.00587645
3,98,3,0.006794241,0.006794241
3,98,4,0.013015113,0.013015113
3,98,5,0.007048564,0.007048564
3,98,6,0.004862563,0.004862563
3,98,7,0.006315097,0.006315097
3,98,8,0.007802659,0.007802659
3,98,9,0.010973136,0.010973136
3,98,10,0.010648912,0.010648912
3,98,11,0.010991789,0.010991789
3,98,12,0.009025737,0.009025737
3,98,13,0.006947733,0.006947733
3,98,14,0.013100117,0.013100117
3,98,15,0.011971986,0.011971986
3,98,16,0.01044552,0.01044552
3,98,17,0.011858657,0.011858657
3,98,18,0.009502251,0.009502251
3,98,19,0.003509201,0.003509201
3,98,20,0.003143429,0.003143429
3,98,21,0.004351864,0.004351864
3,98,22,0.004543382,0.004543382
3,98,23,0.004672729,0.004672729
3,99,0,0.004864568,0.004864568
3,99,1,0.003125228,0.003125228
3,99,2,0.006149411,0.006149411
3,99,3,0.006199019,0.006199019
3,99,4,0.004345096,0.004345096
3,99,5,0.00595221,0.00595221
3,99,6,0.00181263,0.00181263
3,99,7,0.003101385,0.003101385
3,99,8,0.002171697,0.002171697
