,Tleaf_C,g_sv,f_LS,A_n,A_c,A_j,A_p,A_n_limit_factor,R_d,fO3_h_out,fO3_d_out,fO3_l,c_i,Canopy_A_n
4464,13.0,17111.79634662749,0.8624758615567435,-0.1879901648829438,30.15612424740541,0.0,29.95857009675173,A_j,0.1879901648829438,1,1.0,1.0,408.7428767183345,-0.0
4465,14.36,16776.55974187043,0.8624758615567435,-0.20888077412360204,33.11889650923715,0.0,34.5191490911161,A_j,0.20888077412360204,1,1.0,1.0,411.10167993269795,-0.0
4466,13.68,16953.027231977285,0.8624758615567435,-0.19818512051761297,31.62475536987352,0.0,32.16903269917261,A_j,0.19818512051761297,1,1.0,1.0,409.8727392611463,-0.0
4467,12.37,17266.10685389312,0.8624758615567435,-0.1789732736127071,28.820222861356974,0.0,28.0303968345542,A_j,0.1789732736127071,1,1.0,1.0,407.734451386268,-0.0
4468,12.79,17174.337113650403,0.8624758615567435,-0.18493960749286595,29.707159887510414,0.0,29.303286944454243,A_j,0.18493960749286595,1,1.0,1.0,408.3758413361945,-0.0
4469,12.58,26648.956226503436,0.8624758615567435,0.43486275461981616,27.820778092472327,0.6167969315131526,28.660619884709792,A_j,0.1819341768933365,1,1.0,1.0,364.5639561062983,0.0
4470,18.28,382349.98751918034,0.8624758615567435,21.088064029433635,33.05053167808417,21.369522775365,51.013131212881746,A_j,0.2814587459313637,1,1.0,1.0,287.59062670574383,0.0
4471,14.34,482610.50412915746,0.8624758615567435,26.949049845159543,27.15760869104166,29.852565233420204,34.447984505738596,A_c,0.20855884588211682,1,1.0,1.0,283.6232326478959,0.0
4472,16.31,542763.8116385614,0.8624758615567435,29.807709939422733,30.050239505882605,33.557513506596756,42.07766541929018,A_c,0.2425295664598718,1,1.0,1.0,283.5842578916487,0.0
4473,24.4,638151.3655707309,0.8624758615567435,32.788543869140746,38.02767511274185,33.22990686950639,86.22025583785452,A_j,0.44136300036564274,1,1.0,1.0,287.3958236772884,0.0
4474,20.33,595660.9380112353,0.8624758615567435,31.50691745159812,35.28178431576186,31.834838029464933,61.70549023972434,A_j,0.3279205778668126,1,1.0,1.0,285.6058614491094,0.0
4475,22.37,528466.4834106885,0.8624758615567435,27.614497069290124,37.362561978451716,27.995462049967742,73.59213468958147,A_j,0.3809649806776186,1,1.0,1.0,289.0102674303361,0.0
4476,27.17,467033.8624211575,0.8624758615567435,23.389982813099927,38.257363788830666,23.92777006113288,103.25254521396342,A_j,0.5377872480329529,1,1.0,1.0,295.1364112163317,0.0
4477,25.34,482436.26863031153,0.8624758615567435,24.532024315511915,38.73103414925877,25.004191340053946,92.13334865000921,A_j,0.4721670245420308,1,1.0,1.0,293.22426018867395,0.0
4478,26.27,528020.1209861707,0.8624758615567435,26.470939181578377,38.497981306006956,26.97548735934846,97.88715215111498,A_j,0.5045481777700812,1,1.0,1.0,293.16606095647626,0.0
